sea-zip-id,zip,fips,year
zip-2018-102,31014,13023,2018
zip-2018-103,31012,13023,2018
zip-2018-104,31017,13023,2018
zip-2018-105,31065,13023,2018
zip-2018-106,31543,13025,2018
zip-2018-107,31557,13025,2018
zip-2018-108,31542,13025,2018
zip-2018-109,31537,13025,2018
zip-2018-110,31565,13025,2018
zip-2018-111,31503,13025,2018
zip-2018-112,31566,13025,2018
zip-2018-113,31553,13025,2018
zip-2018-114,31625,13027,2018
zip-2018-115,31778,13027,2018
zip-2018-116,31788,13027,2018
zip-2018-117,31638,13027,2018
zip-2018-118,31629,13027,2018
zip-2018-119,31602,13027,2018
zip-2018-120,31643,13027,2018
zip-2018-121,31626,13027,2018
zip-2018-122,31302,13029,2018
zip-2018-123,31308,13029,2018
zip-2018-124,31321,13029,2018
zip-2018-125,31324,13029,2018
zip-2018-126,31308,13031,2018
zip-2018-127,30460,13031,2018
zip-2018-128,30450,13031,2018
zip-2018-129,30452,13031,2018
zip-2018-130,31321,13031,2018
zip-2018-131,30471,13031,2018
zip-2018-132,30417,13031,2018
zip-2018-133,30439,13031,2018
zip-2018-134,30459,13031,2018
zip-2018-135,30458,13031,2018
zip-2018-136,30415,13031,2018
zip-2018-137,30425,13031,2018
zip-2018-138,30461,13031,2018
zip-2018-139,30426,13033,2018
zip-2018-140,30442,13033,2018
zip-2018-141,30815,13033,2018
zip-2018-142,30434,13033,2018
zip-2018-143,30456,13033,2018
zip-2018-144,30805,13033,2018
zip-2018-145,30830,13033,2018
zip-2018-146,30441,13033,2018
zip-2018-147,30816,13033,2018
zip-2018-148,30223,13035,2018
zip-2018-149,30234,13035,2018
zip-2018-150,30224,13035,2018
zip-2018-151,31029,13035,2018
zip-2018-152,30216,13035,2018
zip-2018-153,30248,13035,2018
zip-2018-154,30233,13035,2018
zip-2018-155,39840,13037,2018
zip-2018-156,39866,13037,2018
zip-2018-157,39842,13037,2018
zip-2018-158,39846,13037,2018
zip-2018-159,39862,13037,2018
zip-2018-160,39886,13037,2018
zip-2018-161,39813,13037,2018
zip-2018-162,31548,13039,2018
zip-2018-163,31568,13039,2018
